[16:29:13.657] Namespace(data='colon', save_dir='./implementation/colon/small', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_small.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='small')
[17:25:17.591] epoch: 0/200, iter: 128/479: loss:0.6698: rank:-1
[17:25:45.140] epoch: 0/200, iter: 129/479: loss:0.8185: rank:-1
[17:26:12.581] epoch: 0/200, iter: 130/479: loss:0.8461: rank:-1
[17:26:39.913] epoch: 0/200, iter: 131/479: loss:0.7228: rank:-1
[17:27:07.275] epoch: 0/200, iter: 132/479: loss:0.6039: rank:-1
[17:27:31.563] epoch: 0/200, iter: 133/479: loss:0.5875: rank:-1
[17:27:58.972] epoch: 0/200, iter: 134/479: loss:0.7318: rank:-1
[17:28:26.538] epoch: 0/200, iter: 135/479: loss:0.5518: rank:-1
[17:28:54.009] epoch: 0/200, iter: 136/479: loss:0.5047: rank:-1
[17:29:21.210] epoch: 0/200, iter: 137/479: loss:0.7913: rank:-1
[17:29:24.350] epoch: 0/200, iter: 138/479: loss:0.7331: rank:-1
[17:29:52.040] epoch: 0/200, iter: 139/479: loss:0.8409: rank:-1
[17:30:19.446] epoch: 0/200, iter: 140/479: loss:1.1564: rank:-1
[17:30:46.535] epoch: 0/200, iter: 141/479: loss:0.8954: rank:-1
[17:31:13.321] epoch: 0/200, iter: 142/479: loss:0.77: rank:-1
[17:31:40.596] epoch: 0/200, iter: 143/479: loss:0.6068: rank:-1
[17:32:08.013] epoch: 0/200, iter: 144/479: loss:0.6009: rank:-1
[17:32:35.470] epoch: 0/200, iter: 145/479: loss:0.9193: rank:-1
[17:33:03.120] epoch: 0/200, iter: 146/479: loss:0.6454: rank:-1
[17:33:30.378] epoch: 0/200, iter: 147/479: loss:0.6633: rank:-1
[17:33:57.273] epoch: 0/200, iter: 148/479: loss:0.6062: rank:-1
[17:34:23.994] epoch: 0/200, iter: 149/479: loss:0.5833: rank:-1
[17:34:51.117] epoch: 0/200, iter: 150/479: loss:0.6807: rank:-1
[17:35:15.204] epoch: 0/200, iter: 151/479: loss:0.4693: rank:-1
[17:35:42.118] epoch: 0/200, iter: 152/479: loss:0.6359: rank:-1
[17:36:09.340] epoch: 0/200, iter: 153/479: loss:0.6872: rank:-1
[17:36:36.628] epoch: 0/200, iter: 154/479: loss:0.8075: rank:-1
[17:37:03.987] epoch: 0/200, iter: 155/479: loss:0.6684: rank:-1
[17:37:31.423] epoch: 0/200, iter: 156/479: loss:0.5434: rank:-1
[17:37:58.885] epoch: 0/200, iter: 157/479: loss:0.7886: rank:-1
[17:38:01.957] epoch: 0/200, iter: 158/479: loss:0.6034: rank:-1
[17:38:29.044] epoch: 0/200, iter: 159/479: loss:0.6133: rank:-1
[17:38:55.887] epoch: 0/200, iter: 160/479: loss:0.6252: rank:-1
[17:39:23.936] epoch: 0/200, iter: 161/479: loss:0.7131: rank:-1
[17:39:51.380] epoch: 0/200, iter: 162/479: loss:0.7389: rank:-1
[17:40:18.782] epoch: 0/200, iter: 163/479: loss:0.6443: rank:-1
[17:40:46.094] epoch: 0/200, iter: 164/479: loss:0.6894: rank:-1
[17:41:13.422] epoch: 0/200, iter: 165/479: loss:0.4881: rank:-1
[17:41:40.831] epoch: 0/200, iter: 166/479: loss:0.7599: rank:-1
[17:42:07.808] epoch: 0/200, iter: 167/479: loss:0.4905: rank:-1
[17:42:34.462] epoch: 0/200, iter: 168/479: loss:0.4596: rank:-1
[17:43:01.693] epoch: 0/200, iter: 169/479: loss:0.6014: rank:-1
[17:43:28.864] epoch: 0/200, iter: 170/479: loss:0.4677: rank:-1
[17:43:56.149] epoch: 0/200, iter: 171/479: loss:0.5611: rank:-1
[17:44:23.104] epoch: 0/200, iter: 172/479: loss:0.5985: rank:-1
[17:44:50.313] epoch: 0/200, iter: 173/479: loss:0.6499: rank:-1
[17:45:17.320] epoch: 0/200, iter: 174/479: loss:0.6729: rank:-1
[17:45:44.423] epoch: 0/200, iter: 175/479: loss:0.6508: rank:-1
[17:45:53.849] epoch: 0/200, iter: 176/479: loss:1.5366: rank:-1
[17:46:39.666] epoch: 0/200, iter: 177/479: loss:1.1934: rank:-1
[17:47:07.579] epoch: 0/200, iter: 178/479: loss:1.4503: rank:-1
[17:47:35.236] epoch: 0/200, iter: 179/479: loss:1.09: rank:-1
[17:48:02.752] epoch: 0/200, iter: 180/479: loss:0.9137: rank:-1
[17:48:30.056] epoch: 0/200, iter: 181/479: loss:0.828: rank:-1
[17:48:57.536] epoch: 0/200, iter: 182/479: loss:0.8736: rank:-1
[17:49:25.123] epoch: 0/200, iter: 183/479: loss:0.9305: rank:-1
[17:49:52.532] epoch: 0/200, iter: 184/479: loss:0.8205: rank:-1
[17:50:19.874] epoch: 0/200, iter: 185/479: loss:0.649: rank:-1
[17:50:47.142] epoch: 0/200, iter: 186/479: loss:0.5051: rank:-1
[17:51:14.455] epoch: 0/200, iter: 187/479: loss:0.456: rank:-1
[17:51:41.826] epoch: 0/200, iter: 188/479: loss:0.6863: rank:-1
[17:51:44.943] epoch: 0/200, iter: 189/479: loss:1.0953: rank:-1
[17:52:12.058] epoch: 0/200, iter: 190/479: loss:0.5907: rank:-1
[17:52:39.009] epoch: 0/200, iter: 191/479: loss:0.994: rank:-1
[17:53:06.452] epoch: 0/200, iter: 192/479: loss:0.6122: rank:-1
[17:53:33.563] epoch: 0/200, iter: 193/479: loss:0.5094: rank:-1
[17:54:00.962] epoch: 0/200, iter: 194/479: loss:0.575: rank:-1
[17:54:28.257] epoch: 0/200, iter: 195/479: loss:0.5057: rank:-1
[17:54:55.658] epoch: 0/200, iter: 196/479: loss:0.7554: rank:-1
[17:55:22.618] epoch: 0/200, iter: 197/479: loss:0.5388: rank:-1
[17:55:49.865] epoch: 0/200, iter: 198/479: loss:0.7173: rank:-1
[17:56:17.208] epoch: 0/200, iter: 199/479: loss:0.5038: rank:-1
[17:56:44.457] epoch: 0/200, iter: 200/479: loss:0.5373: rank:-1
[17:57:12.017] epoch: 0/200, iter: 201/479: loss:0.8194: rank:-1
