[15:59:39.170] Namespace(data='colon', save_dir='./implementation/colon/full', data_dir='', num_workers=2, split='train', split_path='/home/hao/Hao/CVPR2025_interactive_challenge/src/useful_scripts/split_full.json', model_type='vit_b_ori', lr=4e-05, lr_scheduler='linear', warm_up=False, device='cuda:0', max_epoch=200, image_size=128, batch_size=1, checkpoint='best', checkpoint_sam='./checkpoint_sam/sam_vit_b_01ec64.pth', num_classes=2, tolerance=5, boundary_kernel_size=5, use_pretrain=False, pretrain_path='', resume=False, resume_best=False, ddp=False, gpu_ids=[0, 1], accumulation_steps=20, iter_weight=False, iter_nums=6, num_clicks=5, num_clicks_validation=10, use_box=False, dynamic_box=False, use_scribble=False, num_multiple_outputs=3, multiple_outputs=False, refine=False, no_detach=False, refine_test=False, dynamic=False, efficient_scribble=False, use_sam3d_turbo=False, save_predictions=False, save_csv=False, save_test_dir='./', save_name='full')
[16:21:43.656] epoch: 0/200, iter: 136/3469: loss:0.5993: rank:-1
[16:22:00.827] epoch: 0/200, iter: 137/3469: loss:0.9653: rank:-1
[16:22:02.724] epoch: 0/200, iter: 138/3469: loss:1.4793: rank:-1
[16:22:12.211] epoch: 0/200, iter: 139/3469: loss:0.8143: rank:-1
[16:22:18.257] epoch: 0/200, iter: 140/3469: loss:1.0307: rank:-1
[16:22:33.592] epoch: 0/200, iter: 141/3469: loss:1.0094: rank:-1
[16:22:58.267] epoch: 0/200, iter: 142/3469: loss:0.7878: rank:-1
[16:23:32.423] epoch: 0/200, iter: 143/3469: loss:0.7205: rank:-1
[16:23:34.409] epoch: 0/200, iter: 144/3469: loss:0.5644: rank:-1
[16:23:36.302] epoch: 0/200, iter: 145/3469: loss:0.5051: rank:-1
[16:23:40.378] epoch: 0/200, iter: 146/3469: loss:2.7856: rank:-1
[16:23:46.345] epoch: 0/200, iter: 147/3469: loss:1.313: rank:-1
[16:24:03.697] epoch: 0/200, iter: 148/3469: loss:1.3494: rank:-1
[16:24:09.647] epoch: 0/200, iter: 149/3469: loss:1.0124: rank:-1
[16:24:11.608] epoch: 0/200, iter: 150/3469: loss:0.785: rank:-1
